Performance,Lost/Won,Conversation Segment,Transcript,Transcript_results,polarity,subjectivity,sentiment,sentiment number
low,won,demo,clienthello okayup inaccount executivenamehere now its just so so because you have more than  customers or partners sorry you have more than number or with the partners and its trying to slice by number so i was saying so yeah again theres theres a way in the syntax to say top five partners by partner call partner item cost instead of top days we had the we had the wording a little wrong and so it render the wrong thing but theres a way to limit the customers down to a smaller set but yeah i think you get the idea of of kind of how you play with it and yeahaccount executivesales engineer hello client as as another one lets say like one of these spikes are valleys you wanted to drill in data drill down sales engineer im not sure what you want to drill into but all you gotta do is hover over it right click and hit drill down and youll get a list of all those attributes data drill down ends sales engineer so if you wanted to go into state city zip or what have you you could do that or any of them carrier or you can type in there and itll bring it up there you go partner name and if you dont right and you can also actually if you go into the far left access there you see where it has been a little carrot click on that okayclientsales engineer yup and you could sort this the sending or whatever annual annual you know you just just another way to look at the data right so now youve got likethe top everything right and you can even fit the number to the to the screen as well versus the scroll bar name sales engineer like you see there and down at the bottom theres a scroll bar because of number data pointsclientlong tail probably is not as useful right drops off significantly down herewhat elsethat i want to so we didsales engineeraccount executivesales engineerthe other thing is maybe you dont want a pretty picture you see where youve got a little button up here thats got the blue yeah click on the table view or click on that button data drill down sales engineer and this is sticky so if you just want to operate in a tabular view you can do that as well okayclientsales engineer the auto visualization is the other way and if you just click it again itll go back so you can you can toggle that switch back and forth got it okay i just toggleclientsales engineer yep and then just above the gear but you see the same visualization button if you click on that you can choose what type of visualization you want okayclientsales engineer but lets go back so this is kind of some look and feel and we can set up some office hours to do more data management  functions sales engineer but lets go back to the data tab because i do want to show you some other stuff in there as well before we let like pure end users go at this so youve got your prep orders the retail apparel demo is this something that it ships with i put a tag on it this morning so that we could differentiate between what you guys are doing and what ships your tag data management  functions ends clientsales engineer yeah thats my and so what we wanna do is go up to the ellipsis over in the far right around button there click on that and lets say lets create a worksheet and if you go to the left and create and click on sources i guess at the end up and then grab your table yeah prep orders close that and now if you open it on yep right there lets just say out of all of this there was only  or  records that you really wanted to give certain users you can not records but columns you can select them that you wanna use by double clicking them or highlighting as many and then clicking add columnsclient  or control and click the there you gosales engineer yep and yeah right because some of these probably you dont you dont i dont i dont know right but certainly lets also definitely pick a city state zip and countryclient leave it up for i end up selecting everything sales engineer now you can hit add columns there at the very bottom right below product you just lost itsorry thats all right yousee just belowclientsales engineerclientyup mitigate a few or they select that i can always come back and add to our rightsales engineer yeah but definitely do the geo ones because i want to show you something specific about thosegocity state zip countryclientsales engineerand product right right below product to see add columns right there youclienti miss crap quantity as well alright add columnssales engineersir outstanding now lets hit save button give it a namesales engineerperfect the other thing that you can do in a worksheet that i didnt mentioned i should have below the sources there was a formulas if i wanted to add formulas to this worksheet its just a spot that everybody that has access to this worksheet will now have that kind of global formulaclient doingsales engineer a one off in a report or an answer but in here you see right or the aggregate are the aggregations correct and then the next one is synonyms so partner name order number product quantity i can add in that synonyms column a comma the limited list of what people use and there every day verbiage to describe these things got it so yeah like search types clientsales engineersales engineer like the one i usually show is you know is it is it is it a fraud product skew item right you can just eliminate list and then the net and this is important for those non technical end users that you know what language do they use data drill down sales engineer and that just makes the search experience way more pleasant then for that auto visualization if you go over to the geo for state zip or country city obviously is is an endpoint to a drill in from a zip or something but for what where are we on i think it was state state whats that data drill down ends clientsales engineer click on sub nation or so yep sub nation announced stateclientsales engineeryep and then zip code and thenclient no we have lots of dirty data in here sosales engineerso defaults doubles its default as a measure when it comes inthats fineand then country yeahokaysave thatnamesales engineeraccount executivesales engineerclientand turn off phases measures since its the order numbersales engineeryeah yeah yeah you cannot change that to an attribute first and then d select additive and the aggregation its gonna tell you you need to change as well you dont have to go exactly in that order butgot it i safeclientsales engineersave and now if you go back to search right choose sources youll see in the top the upper part where it says worksheets theres your tests view and justclient yousales engineerselect the prep bordersturn this off okay data drill down clientsales engineerclientsales engineeryep and then hit close now your normal end users only ever going to see worksheets right okay and probably only one or two because were admins we see the entire entirety of it so now yeah you can open that up and if you say a quantity by country or something or quantity and countrysales engineer actually double double click it or type it right into the search bar i look at already you know and youre youre gone quiet and then country and hit enter i probably should have checked your we do that thats pretty coolclientsales engineer right and now just as a task lets drill down into the united states and go to stateright rightsales engineerhi click yeah i think we might have just gone tosales engineeralright so it looks like youve got state does that stateclientclientsales engineer looks like and then you know if you drill down to that you could even go to zipssales engineer and you only have one so if you switch over to tabular view its funny because i was literally just doing this the other day the same the same thing where it was only a couple of zips in the state that were in are there it is quantity three if you wanted to you could actually drill on this and go into like order number or item or product or or do we have vendorclient yeah so i guess my bigger question is like why did we only see state when we drill down from united statessales engineerlets kill this if you go to the x on the search barkilled all thingclientsales engineeryep and throw united states in there and our state through thrown state in there just type in state enter data drill down ends sales engineer lets see what we get here well thats why it says well you know why did we only see me a favor and say actually go down to state in the actual column here nope over over in the answer side yeahclientsales engineer and hit that ellipsis and just filter that i want to see something and actually you know what im gonna do im gonna just request control aswell yepi see what youre sayingokaysales engineerclientaccount executiveclientwhats the issue all possible values that show everything for the samplesales engineerread my mind right when i was sitting here slightly pharma and then i was like here we go this is probably why why its notwowthats pretty crappyyeahsales engineerclientclientsales engineerhes in here right my guess would be that its something to do withlets see this real quickso hes the auto searchsales engineersales engineersales engineeryeah itll be interesting to see how how it works with because im sure like you got em i state and there was mir up here multiple times so im not chit could very well beclientsales engineer it may it might have just totally confuse the map to a certain degree so it might have been a i would want to confirm what were looking at from a country perspective on quantity enter on this and lets you it its definitely pretty youre looking at it at the map though isnt it data drill down client  it is makes for a great demosales engineer absolutely there there may need to be a little bit of work on that and i can look at that behind the scenes as well not to get bogged down in this completely like totally take a look at this because i have access as im sure you know as an admin to this to this as wellsales engineersales engineerbut for quantity thats all you have seems does that seem odd based on theclientyeah i mean youre not filtering data anywhere so that seems really oddsales engineeryeah id have to check the data because it looks like right i just said show the underlying data when theres only two records for united states country data drill down ends sales engineer data drill down  yeahsales engineersales engineer right so you could actually we wanted to take this and see what the returns and third party vendor but this is exactly where its coming from so theres only theres only three records and then if i drill down to state here statesales engineerclient hi is this hitting third party vendor every time we see those sort of three bubbling dots yes and nothings getting cash anywhere its not like were catching up with data along the way data architecture sales engineer were indexing these values and whatnot but were not moving the data over and theyre not caching as far as i know name mayname right no other queries should be run in real time against the data thats in your third party vendor so you can paste those you can you know paste those queries directly out of our interface intoaccount executive  third party vendor and run them yourself there data architecture ends sales engineersales engineer is there maybe another metric that you guys use quantity stageclient quantity is the only thing i have another view right now i mean thats thats just part of that we look at revenue and profitabilitysales engineer yeah because its just theres i mean according to this theres theres only data for united states for state with quantity for those time periods we look at any quantity and what is it delivered day and production date is there a day that mightclient would they were you using just a new quarter create date thats the data to you working man june  clientsales engineersales engineer yeah something ill definitely have to look into because like you just like we just saw right when i true in that order create date theres plenty of data and data yepclientsales engineer and theres all the zip codes you can see its definitely its some its the one the one nice thing about this is without having to write sequel you can see the bad data right right and start interacting with it right so when i drilled into state why am i getting this up here and and this so i have a sneaking suspicion that its just the quality of the data we can obviously still work with it but it could be it could be sketchy from time to time here did not like apparently state except for the mapping data management  functions client you dont need to bog down in the mapping that we only have a few more minutes whats the i want to join a table you could just walk me through thatsales engineer yeah absolutely so if you had the joins done theres the top three in state if you had the joins done using the primary keys foreign keys in third party vendor and you selected those tables they would automatically come in as joined okayclientsales engineer if you want to join them in in company you see this joined button right here say i had multiple tables that we had brought in already i can just add those joins right here heres my source table select your other table whatever it might be and then select the column that it that it actually joints to you right obviously this table is not related to an all but you get the ideayepclientsales engineerand if its more of a compound join you can add columns here as wellclientokay and that just becomes part of this d normalized viewsales engineerit would just be joined on that to this d normalized view data management  functions ends sales engineerand then to to your point what you would do like this test view i would have to edit this and add that new calm i mean add that new okayclientsales engineer right so if i if i come out here and i add this table lets say itll itll add it but because theyre not joined its going to be great outclient got it okaysales engineer and heres the formulas as well you can come in here you can just start typing theres assistance as well whats kind of neat though is lets say i wanted to do a quick one as i start typing maybe ill say i want to do quantity see how it just starts popping in there like a leads leads leads leads the way so i can do quantity times i dont know product whatever it is and you have all sorts of different aggregate type calculations you can do count if some if sounds you have all your standard kind of if then else all that fun stuffclient heres a question just real quick on a formula to one is is there an assumed level of granularity that its calculating the formula on is it calculated at the role levelsales engineer yeah i believe so yes right so like it was interesting because yesterday i was dealing with a customer and they had used they had used this this aggregate aggregate i think they use the group aggregate for something and all that was was they wanted to take out they had fees and they wanted to sum that up slightly differently and literally all they had to do is say some if they didnt i have to do an aggregate if if you want to calculate add an aggregated level then you have to create that aggregate level right so its something from the transaction level on up across all of your all of your own attributes so if you need to do something more advanced and i need to calculate some so states or the zips are the cities whatever that granularity is in regional automatically go off the country right i want to calculate something differently at the country level then you need to use that aggregate kinds of functionalityclient okay so the second question on the formula is is that only relevant to this data source now that were its only relevant the studiosales engineerclientsales engineer this worksheet yes okayyes theresclientsales engineer thats correct and this worksheet is just a logical layer sitting on top of that prep borders table from third party vendor and its only attached to this worksheet or this test view as we call themclient okay so if i created you know client company good and gross profit as opposed to maybe our partners gross profit would i id have to do that in every worksheet that i created where were where were gonna use calculate profitsales engineerclientno way to really centralize our govern use of calculations across worksheetsales engineertheres not a concept of a global metric that you can just plop and pick wherever you want to worksheet right now use cases sales engineer its only at the worksheet level i believe thats on the road map but right now its only into worksheet levelclient okay well thats helpful i mean a lot of what we do centers around this view at least as it relates to managing our our backlog our productivity our supply chain but those metrics will apply and other places as well use cases ends sales engineer  sure yeah absolutely they always dok yeah okay i dont i went on our our time i whats the recommended way to really start digging in here and replicate some of the stuff that weve weve builtsales engineer yeah absolutely i mean essentially right you saw how easy it is to get connected assuming that we have our our account name correct yup,"{'polarity': 0.11582082366302898, 'subjectivity': 0.4947588322113043, 'sentiment': 'Positive'}",0.115820824,0.494758832,Positive,1
low,won,next steps,clientsales engineer and start using this now yeah youve got basically  days that you can essentially do whatever you want you can contact me via email we can set up a weekly or or you know a couple of times biweekly office hours are meetings but if you have any questions just shoot me an email and we can take it from there normally weve got at least one or two meetings a week when im when im doing these so that we can connect and either one of us i usually dont but if you if you have an issue or you dont need to me obviously you can just send me a note cancel it and that time yeah next steps ends ,"{'polarity': -0.06666666666666667, 'subjectivity': 0.35000000000000003, 'sentiment': 'Negative'}",-0.066666667,0.35,Negative,0
low,won,demo,account executive yep so ill kind of keep keep moving forward here so we can see a you know a little more features and capabilities of this here so what im gonna do is im just gonna go ahead and clear out of this im gonna exit out and ill just put in and this is this this im like demo instance if you what is a retail example but its still gives you you know an idea right data drill down account executive kind of on the on the data that youll be using so ill put it in sales lets put it in daily ill put it in region and ill put it in lets just say last six monthssolutions engineer the search bar here account executive that does using is is is our primary way to build things data drill down ends solutions engineer lets say if you want to build a report the search bar is usually the place where you would go to i would say you know search the answer for in this case all of those colors of the bills indicate what what entity is it data drill down solutions engineer so sales isnt green thats a metric so region as an attribute because its in blue and then the last six months has obviously filter so as soon as as soon as account executive types to query what company theres doing on the back end as to construct the sql query for you know for this search thing that you type and its its basically running and by your third party vendor instance on the flight theyre done in the results picking the best fit visualization and then displaying it to the you know to the user who searched for it and you know transparency is very important for us so you clearly understand which tables are we accessing then relate this query and also you know as account executive show the actual sql query that the agenda rating thats what does it make senseclient yeah thats pretty cool i have a question how does how does this handle data different granularity so like say you have sales for some you know for dresses added daily granularity and you have sales for shoes at an hourly granularity how does that like how does the end user know that when theyre searchingaccount executive glad you asked so youll see here daily right sales daily region last six months but i want to show you this so what i can do here like lets just take this peak right well grab a random peak ill right click on it lets say i want to drill down and i want to go to the city theres no predefined drill pass right so if someone wants to drill down they can drill down right so now it takes me here i in cities lets say i want to go step further i can i can drill down and lets say i want to see the skew number i can drill all the way down to the skew okay and i can keep going further and further and further so thats the powerful thing about company is being able to get to a very granular level extremely quick to be able to figure out like hey what what question i trying to answer search types account executive what you know based off that says i need to make i need the information now i can get there as granular as i want does that give you an idea there on the granularitysolutions engineer yeah client a part of your question is sorted by the keyword that the user types data drill down solutions engineer so lets say if they buy daily and it turns out the the product in this case process have the granularity at an hourly level you know theyre still that company is going to aggregated for the day and then showcase it but there was another way to work around this which is you can specifically tell company the only get the most detail level by default data drill down ends solutions engineer so even if youre by daily its gonna be done i believe thats something we can set on the back end but you know it i hope that answers your question its barking on the keyword and the data you know how what line that the data is it yeahclient data transfer client i think i was thinking more the kind of reverse scenario like what if somebody thinks data is available hourly does it just not show that option when youre searching or lets say they want to hourly but it actually comes in dailysolutions engineer  i mean if youre paying hourly it shouldntclientsolutions engineer okay by the hour but youre saying how do the user know if there was an hourly granularity is that what youre saying yeahclient yeah like say we actually dont have the data at an hour hourly you know greenaccount executive okay i if you dont have the data it wont be there right use cases account executive if if an hourly isnt something that you have there its only gonna be available for what you have anything thats in third party vendor thats whats going to be available yeahclient okay yeah because i think theres some well i think theres like a lot of assumptions that buyers add that because we get some data and like like for us in digital systems engineereting we might get like say facebook data and an hourly grain but we may only get removed or being at like a a daily green theyre gonna make assumptions that they can have everything hourly and i think theres gonna be theres some confusion around that use cases ends client so i dont know if theres any controls in place that just like say if they were to search facebook it will show hourly but if they search removed it wouldnt give them that hourly option in the search bartaccount executive i mean we can we can show them that on the yeah there is controls over that right on the semantic layer kind of the worksheet man if you want to show them that here in a second,"{'polarity': 0.09574148385946137, 'subjectivity': 0.4513064027108969, 'sentiment': 'Positive'}",0.095741484,0.451306403,Positive,1
low,won,company product,solutions engineer yeah what we can do that as you know track the usage behavior thats one thing so lets say you already im used to facebook hourly query before the next time youre type facebook into the search bar you know we track the usage so youll probably get a suggestion that says hourly search types solutions engineer so if you you know if you have that or what account executive is doing from the start like you can close out of the search bar account executive start diving from scratch observe how these usage base suggestions come up so then you type sales company based on the behavior of you as a user and grew it basically suggest these suggestions,"{'polarity': -0.4, 'subjectivity': 0.5, 'sentiment': 'Negative'}",-0.4,0.5,Negative,0
med,lost,about company, pricing  client  are you guys are you guys are you guys profitable you still run enough capital investment account executive  profitable client  in account executive  removed id have to check on what the latest numbers are are removed about company  account executive removed    removed so its its turning into a little bit of a rocket ship or like trying to solidify fire ourselves more of a third party vendor as well they just invested about removed into us three months ago client  thats a tough account executive  trying to attach yourself to that rocket ship as well but its been exciting and fun for us cool yeah so what do you think was that what you expected client  yeah its good i mean its its exactly where i think you know ive ive been saying and i spoke at a conference earlier this year ive been saying that the future of bi and analytics and ai is yet to be defined and its disruptors and trust me i and i really believe this third party vendor is gonna live for a period of time but thats thats they kind of came in midstream and they made a big splash and but i think on the continuum theyre necessary but theyre going to get up ended  about company ends ,"{'polarity': 0.13559403559403557, 'subjectivity': 0.48313492063492075, 'sentiment': 'Positive'}",0.135594036,0.483134921,Positive,1
med,lost,about company,client  and so our bunch of others because were nowhere near the end state for you know enterprise analytics at all and so i really believe that and it looks like you guys are doing and i think the way there and i keep harping on it i think the where the way there is building a platform that doesnt require it it we can provide the service to the business the business can do it themselves for whatever whatever function  customer base  client  they are right so whether account executive  right client  personal or whether its finance or whether its r and d really yeah i mean i could see a use in in in in like a product development for genetics or for you customer base ends  removed    removedclient  i mean you can the list could be endless right yeah so theres a lot of theres a lot of value in this kind have saas and i hate to i dont mean it this way but but allowing for an intuitive you i thats kind of plug and play for the business account executive  yeah exactly and to your point on third party vendor i mean look at what client is doing client  yeah exactly account executive  theyre who theyre coming in with our ai and machine learning and theyre growing astronaut client  you know what i think also and ive been i this is another thing i harp on and people are second hearing me say is that ive been on both sides right so work with name data and and working with product team over there and then being you know a customer i gotta tell you i still think the winter is the one that has the easiest interface for the business and also has a sales they can they can understand they have what would it say,"{'polarity': -0.019642857142857153, 'subjectivity': 0.5428571428571428, 'sentiment': 'Negative'}",-0.019642857,0.542857143,Negative,0
med,lost,agenda, agenda  account executive  so im just gonna go ahead client  and account executive  share my screen real quick,"{'polarity': 0.5, 'subjectivity': 0.75, 'sentiment': 'Positive'}",0.5,0.75,Positive,1
med,lost,customer base,client and i know just in the interest of time i dont want to i just want to give you a sense of whos on the call account executive so ill run through the names real quick and of course they can do a better job of that just in the interest of time to run through  customer base  client so name shes on my team shes a data analyst supporting third party vendor and and some back end analysis dar use hes director of name is a senior director of name is i cant remember her senior analyst or just analyst but shes in the digital marketing team and the that is the director of guest insights and coronavirus  customer base ends  account executive  thank you client hi client sorry schedule you a senior manager of digital marketerremoved    pm removed client  hey everybody sorry im a few minutes late,"{'polarity': -0.16785714285714287, 'subjectivity': 0.5142857142857142, 'sentiment': 'Negative'}",-0.167857143,0.514285714,Negative,0
med,lost,company product,client  yeah thats true company employee  okay so localization so when you connect to a table in company its gonna create met a data and company so the tables are gonna have column names and you know of course will be values within those columns so whenever we create that met a data its based on what were connecting to now it sounds like youve got some sort of api layer that sits between your ui and the table name that in real time does that translation is that client  is that company employee  layer is that a custom built layer that you guys have  data management  functions ends  client  yeah and aside from language theres also things like you know what is the companies you know home time zone what is the companies currency you knowremoved    removed things like that so anybody tickets within those companies when theyre interacting those settings and apply okay company employee  yeah client  no its not really like necessarily like bremoveder based i dont think its more based on their companies configuration client  client company employee  yeah so whenever client  me if im wrong if you know differently on any of company employee  those company employee  yeah unless k i was so it sounds like when someone logs into your app based on their profile and all the things about who they are before it queries post grass or third party vendor or whatever its going to do this translation and then the data will come back translated if im if im understanding properly and i think youre right about that and we might have lost client yeah client  thats okay company employee  so when we connect client  sorry its not its not the data like the data is whatever they input it has its own holidaycompany employee removed    removed  columns client  like its the semantic layer terminology client  okay so were introduce company employee  so heres where my head is that here so right now we have a certain set of sources that we support connecting to,"{'polarity': 0.1755639097744361, 'subjectivity': 0.5206766917293233, 'sentiment': 'Positive'}",0.17556391,0.520676692,Positive,1
med,lost,onboarding, data architecture  company employee  obviously we we wouldnt natively connect to your api layer we would connect to your database right but we if we can connect your api layer so that would be a challenge we have a feature set that were releasing in the next few months called parameters which feels like it would sort of do the same thing  data architecture ends  company employee  now it wouldnt tie in directly with your api layer so wed probably have to have a conversation where we go a little bit deeper if youre if theres interest in understanding how we might solution this but it might require that parameters feature on our side which isnt quite ga and the product yet to do that  data architecture  company employee  so i know were short on time here but like that would be something we would have to figure out how would we do that i know some folks will have a service built into third party vendor for example where it does this dynamic layer and if that were the case like we could connect to third party vendor and it would  data architecture ends ,"{'polarity': -0.0001623376623376643, 'subjectivity': 0.23885281385281382, 'sentiment': 'Negative'}",-0.000162338,0.238852814,Negative,0
med,lost,onboarding,company employee  and you know were going to be there to to help and guide and advise on that one of the things wed love to do is im sure you guys are along the same lines here but like come up with a plc plan where we kind of co author the document has some success criteria and timelines just so we all kind of say hey like heres what we want to because everyones busy  onboarding process ends  company employee  obviously heres what we want to spend our time on that way you know we get to the end of it you guys have a good feel is there value here is theyre not value always kind of refer back to the plan that we we jointly came up with so i dont know account executive anything you would add to that,"{'polarity': 0.35454545454545455, 'subjectivity': 0.5194444444444444, 'sentiment': 'Positive'}",0.354545455,0.519444444,Positive,1
med,lost,small talk, small talk  company employee  wreck might be on mute all right account executive  im sorry there was a plumber just showing me where all of our issues are no no no no its its been a little bit of a crazy friday morning i apologize i think i hectic around seven eight yeah yeah i mean im just what im supposed to be answered no no no im sorry  onboarding process  company employee  sorry yeah yeah we were just account executive  forget about itcompany employee removed    removed  talking about the plc step and i kinda walk true a few things and i was just i was just saying anything yeah but yeah like basically i think thats it right and we typically come up with a plan jointly together some timelines success criteria  onboarding process ends  company employee  and then your your developers are gonna want to do a lot of the work with embedding and we would be there to support with that and so yeah account executive  yeah  percent and i was listening and ill road have an internal discussion if you want to explore more well set up the next deep dive call with with other resources  onboarding process  account executive  you can talk to the developers engineers and if you want more customer stories i can i can throw something together we can do you know high level if you want to talk about just benefits of what other customers are doing with embedding company we can also have that type of session for whoever as an he wants to rejoined the picture whoever needs to be involved from a business perspective we can we can also set up that conversation if its something youd like to help facilitate at some point so yeah i think you know from our perspective well just play around the developer community ill send you some more customer use cases to you a couple of weeks however much time you need,"{'polarity': -0.045586080586080595, 'subjectivity': 0.5114972527472527, 'sentiment': 'Negative'}",-0.045586081,0.511497253,Negative,0
med,lost,company product, use cases account executive that would be fantastic grand i know weve discussed for the sake of the proof of concept and inventory management use case that was top of mind and timely is that still the case and if so can we you share a little bit more about thatclient in inventory in terms of its availability in the in the day like is is not there thats something that we have in process data management  functions client something were working on there are a number of tables that we need to bring in put it into our process layer and ultimately build a model and are prepared layer so at that point then we could circle back into the process layer and make it available for data like for the purpose of the po si data transfer client however we can we can do something that were doing in the interim which is to take from whatever sql servers databases which as snapshots of our inventory which basically has the kind of the pretty much the final set of data that were going to any way build only one from our native assets sql tables so basically simulating what would we have at the end of the day after we do all of our data engineering so and we do we need to do that anyway in order to pull the data in for historical snapshot so so that would be that would be our approach there use cases client but makes it easy there is that basically its one one big table that has everything already altogether so for the purpose of a plc we spend less time data modeling and more time getting and user feedback we also have some requirements from the team where theyre very interested in being able to take inventory data and combining it with forecast or demand or inventory you know comparing a supply forecast the demand forecasts data management  functions clientremoved  removed so these are all the other data sets that were building up but step one is getting access to core inventory data and that would again that would be our approach is to leverage what weve already built out pull that in and be able too you know show how it can be much easier to analyze the data that the business is used to using it instead of having to go and grab the data export it create more dashboards and so forth data management  functions ends client of course were were looking at a very much from an end user point of view i wanna make sure however that from an install point of view firms getting is up and running in terms of being able to get the approvals to do that were all on the same page so that way you know as long lead time so that once we get the business interest of this we dont want to put them on pause for six months you know its important that we are you know able to move quickly once once we all are on the same page data transfer sales engineer and is that the process today client you said they have to download data to an excel file and do some kind of shaping a modeling themselves and then upload that back to build a dashboard on top of itclient sure because what we have right now and our sql database is not something that they actually query and build the build anything and they have to move it to another place data transfer ends client you know its just basically a you know a  year old not even the day like its just a bunch of tables that are out there that they can query against and move them someplace else so its not very user friendly so what happens is and its happening all over the company people in the data thats a good place together data management  functions client they grab it they build their own little mini mini data towers and they go to work and then we have this proliferation of data models and no central us already or control so the idea here is now that we are building a video we do this from the etl and we have the flexibility to give users and easy way to kind of do what theyreremoved  removeddoing right now without having to do a lot of data modeling so thats what we want to prove out our plc dont go through that use a tool like this and quickly be able to to to do what you need to dosales engineer got it okay and that that one big table i mean can you defined big for me just logging scaryclienti dont have a row row count on this but i can get back to you on thatsales engineeri mean do do you know how wide it is as wellclientits pretty its pretty big i mean youre talking about youll be talking about all of the all of the inventory across you know the entire world i mean we have tens of thousands of skews we have you know many suppliers we have you know many manufacturing facilities you know distribution centers its a camp very complex network sosales engineer okay and so this is the table then that moving from the process so the prepared layer is kind of d normalized into a relational structure with the with the keys and relationships between them data transfer client well i mean this table this table is already done because this is are all kinds of sql environment its already been kind have theres already a process in place that when the month and take that take all that data create a snapshot of it and save it off into another place thats what were talking about here data management  functions client wed be kind of replicating that and and client by taking the native tables pretty much not adding a lot to that but just creating a a method going forward thats more sustainable and also being able to combine it with other data sets so but were not there yet to to be able to use that final end model for inventory but we can leverage what weve already builtremoved  removed okaysales engineersales engineer use cases  and i imagine given the size and scope of that table does contain all the different data elements that would be a part of any question and then use or would haveclient  operational inventory analysis yes okaysales engineername i have one question regarding the performance metrics what we talked about right data architecture name so since the compute and the data store is going to be data breaks the performance metrics is mobility clue what name has set right so what im trying to understand is is there any specific performance metrics company has to offer here because the computer is going to be on client the data is already organized on totally prepared as the platform is coming from the performance most of this off most of the tools or the bi tools right they have a computer engineering and the performance indicator is based on that but when you say that company has a performance indicate when you mentioned that youre compared with other tools i feel that theres more related to client with this the data store as of now versus the company software itself is my understanding right search types sales engineer youre talking about pure compute and processing time yes oftentimes when were talking about performance and speed as well were talking about speed for an end user to get the answer to their question as well so its and also i mean just to what client was just talking about about trying to reduce the proliferation of data across the enterprise and trying to kinda reduce those data silos that exhibit or that build up over timeremoved,"{'polarity': 0.21692287784679087, 'subjectivity': 0.5486999654934437, 'sentiment': 'Positive'}",0.216922878,0.548699965,Positive,1
med,lost,company product, data architecture sales engineer i mean when youre having to do data extracts and put things in cash and different bi layers to enable performance on those its its a bit of an extension of that so were were very specifically designed it because we knew our customers were wanting to stop that and they did not want to have another caching there because frankly thats what the in memory database was for all intents and purposes in south,"{'polarity': -0.0375, 'subjectivity': 0.5291666666666667, 'sentiment': 'Negative'}",-0.0375,0.529166667,Negative,0
med,won,next steps, im looking at where its its we call it our taxonomy table and and i want i want access to the taxonomy table company employee  what is the taxonomy table client  this one i mean theres more than one table i would like the one where i was like hey can you just send me a screenshot like hes been sending me a screenshot so its really embarrassing it maps doctor mp eyes and and npi specialties to client specialties company employee  got it so its a bit of a reference table that says this is what the doctors call it this is what we client  yeah but like i literally couldnt do my job without this is sending me screenshots of the results because the the data sets to large like send us an excel so then just sending me screenshots its really embarrassing that ive got this far in my career and im asking for screenshots of this but here we are company employee  what it would be embarrassing if the data volumes and complexity had stayed static for the last  years but since the beginning of this call so its not embarrassing at all its pretty much typical cool alright so account executive think you have what you need in terms of who we should work with next and try to get this get this moved account executive  yeah i think so i will put something together for nametian on add and then ill ill include you on that to client and then it sounds like they i mean when i first spoke to them they told me their timeline was wed like to make a decision by you know next week so thats thats super quick so well see if we can get them set up really quickly get them up and running i think probably like an nda needs to be signed on your end right were stillremoved    removed startup be im like  i work for you guys client account executive client  finance yeah i thought ways to get an nda yeah let me yeah thats a good idea yeah yeah that sounds good yeah i was in north account executive but i mean obviously i think you wanna work towards nametmas time line if thats what he told you i dont see a world where they make a decision next week but well see company employee  presumed that the world does go that way okay we can meet that timeline the worst that we do is is accelerate to give nametian and company a different view of the world and the one they might naturally fall back to which is probably to go ahead with try to embed to third party vendor while worth our investment in in helping you see the other side client  okay so is that what did they tell you that that there can i didnt even think embedding third party vendor is on the table is enough company employee  always just default to the whatever the current tool sets are and its usually third party vendor or third party vendor client  yeah thats our current tool i have no interest in embedding that as our as our end cool company employee  thats client  not a thats not in the consideration set but company employee  okay fair enoughremoved    removedcompany employee  and and youll be the beneficiary of that embedded play from our behalf because it will unlock the enterprise functionality that you would use for client  nice okay cool when we do when we get to i know were not at the pricing stage it but when,"{'polarity': 0.13661347517730496, 'subjectivity': 0.4833713272543058, 'sentiment': 'Positive'}",0.136613475,0.483371327,Positive,1
med,won,wrap-up,account executive  when we do if client  if theyre ready to move we can maybe we can figure out like what the differences between the two but were not there yet says company employee  thats good client  okay cool alright thanks guys yeah ill talk to you soon ill ill ill ill ill talk to lawyers see if i need to do an nda company employee  you let us know that client  hey account executive  sounds good alright thanks client byethe end,"{'polarity': -0.011538461538461544, 'subjectivity': 0.7115384615384615, 'sentiment': 'Negative'}",-0.011538462,0.711538462,Negative,0